step,train/vllm/spec_acceptance_length,train/vllm/spec_acceptance_rate,train/draft_loss,validation/accuracy,train/approx_entropy,train/gen_kl_error,train/reward,train/turns_per_sample/mean,train/math_code_harbor_agent/num_tool_calls/mean,train/math_code_harbor_agent/generated_tokens/mean,train/math_code_harbor_agent/model_generation_sec/mean,train/math_code_harbor_agent/num_model_calls/mean,train/vllm/request_decode_time_mean_s,train/vllm/request_prefill_time_mean_s,train/vllm/request_queue_time_mean_s,train/mean_gen_tokens_per_sample,validation/timing/rollout/total,timing/train/total_step_time,timing/train/exposed_generation,performance/generation_tokens_per_sec
56,1,0,,,0.30550875502626695,0.0015215242385497874,0.8062499761581421,4.2451171875,3.255859375,6203.6611328125,79.1633271484375,4.2451171875,16.240689713742555,0.03234329350465786,4.222240692137009e-06,6203.6611328125,,313.89324068278074,2.773753361077979,22438.461222337082
57,1,0,,,0.29379129995686526,0.001515255293067952,0.7403320074081421,4.33984375,3.349609375,5865.6572265625,71.4269169921875,4.33984375,17.440206135652012,0.033118053164252634,4.291912348148033e-06,5865.6572265625,,378.55950585380197,75.49404522706755,17838.811419919108
58,1,0,,,0.2963313193540671,0.0015324839318466843,0.82421875,4.4755859375,3.498046875,6220.2265625,78.9989951171875,4.4755859375,17.063663495751843,0.03709156226482474,5.247453899535244e-06,6220.2265625,,399.1552304299548,77.33110690396279,17869.726115674097
59,1,0,,,0.29752369968286985,0.0016094288270664947,0.783984363079071,4.873046875,3.888671875,6554.294921875,84.292931640625,4.873046875,19.143010107811453,0.03292892920177782,1.7029533612878123e-05,6554.294921875,,380.8434970630333,46.18594439793378,19764.99102223924
60,1,0,,0.8145833611488342,0.2861422394253168,0.001548751645096047,0.8507812023162842,4.6953125,3.7177734375,6877.525390625,90.937564453125,4.6953125,16.127170785234387,0.034474400867607224,1.5816646930122346e-05,6877.525390625,199.28950725891627,745.9005482541397,55.48303521377966,19333.076650535673
61,1,0,,,0.2993624117350464,0.0016706422566912238,0.732617199420929,4.908203125,3.95703125,6344.412109375,80.266677734375,4.908203125,18.35568978592818,0.04119736450404734,1.2290838629068515e-05,6344.412109375,,509.2372507330001,167.93298994099314,14239.050674905739
62,1,0,,,0.2920143492488023,0.001351108569480175,0.7648437023162842,5.201171875,4.2275390625,7389.5537109375,95.60767578125,5.2021484375,19.570077539426215,0.034817214679213414,4.131013986639769e-06,7389.5537109375,,453.83456649800064,96.00730057898909,18408.81299301049
63,1,0,,,0.3028628066690544,0.001407940156497034,0.7183593511581421,5.2197265625,4.24609375,7685.2373046875,103.360537109375,5.220703125,16.917119657346372,0.03384389258054625,4.2514042401158985e-06,7685.2373046875,,430.7733700329991,59.82749307897757,20105.812986274967
64,1,0,,,0.29037040674006676,0.0014178096791901407,0.7795897722244263,5.5087890625,4.5380859375,7067.8935546875,94.43296875,5.509765625,15.904727058186602,0.03406508313437967,1.2975163198709726e-05,7067.8935546875,,428.0046967119997,83.41077915301139,18724.226235270147
65,1,0,,,0.2883061471391102,0.0014310615777777258,0.822558581829071,6.1083984375,5.142578125,7237.734375,98.565046875,6.1083984375,17.045734457185684,0.03310143137611538,4.145955637630488e-06,7237.734375,,464.1475758759916,53.54725692200009,20524.15977519055
